SPECIES_NUM,GROUP_ID
0001,10
0001,7
0002,7
0002,10
0003,7
0003,10
0004,3
0004,10
0005,3
0005,10
0006,10
0006,3
0007,12
0007,10
0008,12
0008,10
0009,12
0009,10
0010,1
0011,1
0012,1
0013,1
0014,1
0015,1
0016,6
0017,6
0018,6
0019,5
0020,5
0021,6
0022,6
0023,5
0023,3
0024,5
0024,3
0025,4
0025,5
0026,5
0026,4
0027,5
0028,5
0029,5
0029,10
0030,11
0031,11
0032,10
0032,5
0033,5
0033,10
0034,10
0034,5
0035,4
0036,4
0037,5
0038,5
0039,4
0040,4
0041,6
0042,6
0043,7
0044,7
0045,7
0046,1
0046,7
0047,1
0047,7
0048,1
0049,1
0050,5
0051,5
0052,5
0053,5
0054,5
0054,12
0055,12
0055,5
0056,5
0057,5
0058,5
0059,5
0060,12
0061,12
0062,12
0063,8
0064,8
0065,8
0066,8
0067,8
0068,8
0069,7
0070,7
0071,7
0072,14
0073,14
0074,9
0075,9
0076,9
0077,5
0078,5
0079,12
0079,10
0080,12
0080,10
0081,9
0082,9
0083,6
0083,5
0084,6
0085,6
0086,12
0086,5
0087,12
0087,5
0088,0
0089,0
0090,14
0091,14
0092,0
0093,0
0094,0
0095,9
0096,8
0097,8
0098,14
0099,14
0100,9
0101,9
0102,7
0103,7
0104,10
0105,10
0106,8
0107,8
0108,10
0109,0
0110,0
0111,10
0111,5
0112,5
0112,10
0113,4
0114,7
0115,10
0116,3
0116,12
0117,3
0117,12
0118,13
0119,13
0120,14
0121,14
0122,8
0123,1
0124,8
0125,8
0126,8
0127,1
0128,5
0129,3
0129,13
0130,3
0130,13
0131,12
0131,10
0132,2
0133,5
0134,5
0135,5
0136,5
0137,9
0138,12
0138,14
0139,14
0139,12
0140,12
0140,14
0141,14
0141,12
0142,6
0143,10
0144,11
0145,11
0146,11
0147,12
0147,3
0148,3
0148,12
0149,3
0149,12
0150,11
0151,11
0152,10
0152,7
0153,10
0153,7
0154,10
0154,7
0155,5
0156,5
0157,5
0158,12
0158,10
0159,12
0159,10
0160,12
0160,10
0161,5
0162,5
0163,6
0164,6
0165,1
0166,1
0167,1
0168,1
0169,6
0170,13
0171,13
0172,11
0173,11
0174,11
0175,11
0176,4
0176,6
0177,6
0178,6
0179,5
0179,10
0180,10
0180,5
0181,10
0181,5
0182,7
0183,4
0183,12
0184,4
0184,12
0185,9
0186,12
0187,7
0187,4
0188,7
0188,4
0189,7
0189,4
0190,5
0191,7
0192,7
0193,1
0194,12
0194,5
0195,12
0195,5
0196,5
0197,5
0198,6
0199,12
0199,10
0200,0
0201,11
0202,0
0203,5
0204,1
0205,1
0206,5
0207,1
0208,9
0209,4
0209,5
0210,5
0210,4
0211,13
0212,1
0213,1
0214,1
0215,5
0216,5
0217,5
0218,0
0219,0
0220,5
0221,5
0222,12
0222,14
0223,12
0223,13
0224,13
0224,12
0225,12
0225,5
0226,12
0227,6
0228,5
0229,5
0230,12
0230,3
0231,5
0232,5
0233,9
0234,5
0235,5
0236,11
0237,8
0238,11
0239,11
0240,11
0241,5
0242,4
0243,11
0244,11
0245,11
0246,10
0247,10
0248,10
0249,11
0250,11
0251,11
0252,10
0252,3
0253,10
0253,3
0254,3
0254,10
0255,5
0256,5
0257,5
0258,10
0258,12
0259,12
0259,10
0260,12
0260,10
0261,5
0262,5
0263,5
0264,5
0265,1
0266,1
0267,1
0268,1
0269,1
0270,12
0270,7
0271,7
0271,12
0272,12
0272,7
0273,7
0273,5
0274,7
0274,5
0275,7
0275,5
0276,6
0277,6
0278,6
0278,12
0279,12
0279,6
0280,0
0280,8
0281,0
0281,8
0282,0
0282,8
0283,1
0283,12
0284,12
0284,1
0285,4
0285,7
0286,4
0286,7
0287,5
0288,5
0289,5
0290,1
0291,1
0292,9
0293,10
0293,5
0294,10
0294,5
0295,10
0295,5
0296,8
0297,8
0298,11
0299,9
0300,4
0300,5
0301,5
0301,4
0302,8
0303,4
0303,5
0304,10
0305,10
0306,10
0307,8
0308,8
0309,5
0310,5
0311,4
0312,4
0313,8
0313,1
0314,1
0314,8
0315,4
0315,7
0316,0
0317,0
0318,13
0319,13
0320,13
0320,5
0321,13
0321,5
0322,5
0323,5
0324,5
0325,5
0326,5
0327,8
0327,5
0328,3
0328,1
0329,3
0329,1
0330,3
0330,1
0331,8
0331,7
0332,8
0332,7
0333,6
0333,3
0334,3
0334,6
0335,5
0336,3
0336,5
0337,9
0338,9
0339,13
0340,13
0341,12
0341,14
0342,14
0342,12
0343,9
0344,9
0345,14
0346,14
0347,14
0348,14
0349,3
0349,12
0350,12
0350,3
0351,4
0351,0
0352,5
0353,0
0354,0
0355,0
0356,0
0357,10
0357,7
0358,0
0359,5
0360,11
0361,9
0361,4
0362,9
0362,4
0363,12
0363,5
0364,5
0364,12
0365,12
0365,5
0366,12
0367,12
0368,12
0369,12
0369,13
0370,13
0371,3
0372,3
0373,3
0374,9
0375,9
0376,9
0377,11
0378,11
0379,11
0380,11
0381,11
0382,11
0383,11
0384,11
0385,11
0386,11
0387,7
0387,10
0388,7
0388,10
0389,7
0389,10
0390,5
0390,8
0391,5
0391,8
0392,5
0392,8
0393,5
0393,12
0394,12
0394,5
0395,12
0395,5
0396,6
0397,6
0398,6
0399,5
0399,12
0400,5
0400,12
0401,1
0402,1
0403,5
0404,5
0405,5
0406,11
0407,7
0407,4
0408,10
0409,10
0410,10
0411,10
0412,1
0413,1
0414,1
0415,1
0416,1
0417,5
0417,4
0418,5
0418,12
0419,5
0419,12
0420,7
0420,4
0421,7
0421,4
0422,0
0422,12
0423,0
0423,12
0424,5
0425,0
0426,0
0427,8
0427,5
0428,8
0428,5
0429,0
0430,6
0431,5
0432,5
0433,11
0434,5
0435,5
0436,9
0437,9
0438,11
0439,11
0440,11
0441,6
0442,0
0443,10
0443,3
0444,10
0444,3
0445,10
0445,3
0446,11
0447,11
0448,8
0448,5
0449,5
0450,5
0451,14
0451,1
0452,14
0452,1
0453,8
0454,8
0455,7
0456,13
0457,13
0458,11
0459,7
0459,10
0460,7
0460,10
0461,5
0462,9
0463,10
0464,5
0464,10
0465,7
0466,8
0467,8
0468,4
0468,6
0469,1
0470,5
0471,5
0472,1
0473,5
0474,9
0475,0
0475,8
0476,9
0477,0
0478,9
0478,4
0479,0
0480,11
0481,11
0482,11
0483,11
0484,11
0485,11
0486,11
0487,11
0488,11
0489,12
0489,4
0490,4
0490,12
0491,11
0492,11
0493,11
0494,11
0495,5
0495,7
0496,5
0496,7
0497,5
0497,7
0498,5
0499,5
0500,5
0501,5
0502,5
0503,5
0504,5
0505,5
0506,5
0507,5
0508,5
0509,5
0510,5
0511,5
0512,5
0513,5
0514,5
0515,5
0516,5
0517,5
0518,5
0519,6
0520,6
0521,6
0522,5
0523,5
0524,9
0525,9
0526,9
0527,5
0527,6
0528,6
0528,5
0529,5
0530,5
0531,4
0532,8
0533,8
0534,8
0535,12
0536,12
0537,12
0538,8
0539,8
0540,1
0541,1
0542,1
0543,1
0544,1
0545,1
0546,4
0546,7
0547,7
0547,4
0548,7
0549,7
0550,13
0551,5
0552,5
0553,5
0554,5
0555,5
0556,7
0557,1
0557,9
0558,1
0558,9
0559,5
0559,3
0560,3
0560,5
0561,6
0562,0
0562,9
0563,9
0563,0
0564,14
0564,12
0565,12
0565,14
0566,6
0566,14
0567,14
0567,6
0568,9
0569,9
0570,5
0571,5
0572,5
0573,5
0574,8
0575,8
0576,8
0577,0
0578,0
0579,0
0580,12
0580,6
0581,12
0581,6
0582,9
0583,9
0584,9
0585,5
0586,5
0587,5
0588,1
0589,1
0590,7
0591,7
0592,0
0593,0
0594,12
0594,13
0595,1
0596,1
0597,7
0597,9
0598,7
0598,9
0599,9
0600,9
0601,9
0602,0
0603,0
0604,0
0605,8
0606,8
0607,0
0608,0
0609,0
0610,10
0610,3
0611,3
0611,10
0612,3
0612,10
0613,5
0614,5
0615,9
0616,1
0617,1
0618,12
0618,0
0619,8
0619,5
0620,5
0620,8
0621,3
0621,10
0622,9
0623,9
0624,8
0625,8
0626,5
0627,6
0628,6
0629,6
0630,6
0631,5
0632,1
0633,3
0634,3
0635,3
0636,1
0637,1
0638,11
0639,11
0640,11
0641,11
0642,11
0643,11
0644,11
0645,11
0646,11
0647,11
0648,11
0649,11
0650,5
0651,5
0652,5
0653,5
0654,5
0655,5
0656,12
0657,12
0658,12
0659,5
0660,5
0661,6
0662,6
0663,6
0664,1
0665,1
0666,1
0667,5
0668,5
0669,4
0670,4
0671,4
0672,5
0673,5
0674,8
0674,5
0675,8
0675,5
0676,5
0677,5
0678,5
0679,9
0680,9
0681,9
0682,4
0683,4
0684,4
0685,4
0686,12
0686,13
0687,13
0687,12
0688,14
0689,14
0690,3
0690,12
0691,12
0691,3
0692,12
0692,14
0693,12
0693,14
0694,3
0694,10
0695,10
0695,3
0696,3
0696,10
0697,10
0697,3
0698,10
0699,10
0700,5
0701,8
0701,6
0702,4
0702,5
0703,9
0703,4
0704,3
0705,3
0706,3
0707,9
0708,0
0708,7
0709,0
0709,7
0710,0
0711,0
0712,9
0712,10
0713,9
0713,10
0714,3
0714,6
0715,6
0715,3
0716,11
0717,11
0718,11
0719,11
0720,11
0721,11
0722,6
0723,6
0724,6
0725,5
0726,5
0727,5
0728,12
0728,5
0729,12
0729,5
0730,5
0730,12
0731,6
0732,6
0733,6
0734,5
0735,5
0736,1
0737,1
0738,1
0739,14
0740,14
0741,6
0742,1
0742,4
0743,4
0743,1
0744,5
0745,5
0746,13
0747,12
0748,12
0749,5
0750,5
0751,1
0751,12
0752,12
0752,1
0753,7
0754,7
0755,7
0756,7
0757,10
0757,3
0758,10
0758,3
0759,5
0760,5
0761,7
0762,7
0763,7
0764,7
0765,5
0766,5
0767,14
0767,1
0768,14
0768,1
0769,0
0770,0
0771,12
0772,11
0773,11
0774,9
0775,5
0776,3
0776,10
0777,4
0777,5
0778,0
0779,13
0780,3
0780,10
0781,9
0782,3
0783,3
0784,3
0785,11
0786,11
0787,11
0788,11
0789,11
0790,11
0791,11
0792,11
0793,11
0794,11
0795,11
0796,11
0797,11
0798,11
0799,11
0800,11
0801,11
0802,11
0803,11
0804,11
0805,11
0806,11
0807,11
0808,11
0809,11
0810,7
0810,5
0811,5
0811,7
0812,7
0812,5
0813,8
0813,5
0814,5
0814,8
0815,5
0815,8
0816,5
0816,12
0817,12
0817,5
0818,12
0818,5
0819,5
0820,5
0821,6
0822,6
0823,6
0824,1
0825,1
0826,1
0827,5
0828,5
0829,7
0830,7
0831,5
0832,5
0833,10
0833,12
0834,10
0834,12
0835,5
0836,5
0837,9
0838,9
0839,9
0840,7
0840,3
0841,7
0841,3
0842,3
0842,7
0843,5
0843,3
0844,5
0844,3
0845,12
0845,6
0846,13
0847,13
0848,11
0849,8
0850,1
0851,1
0852,12
0852,8
0853,12
0853,8
0854,0
0854,9
0855,9
0855,0
0856,4
0857,4
0858,4
0859,4
0859,8
0860,8
0860,4
0861,4
0861,8
0862,5
0863,5
0864,14
0864,12
0865,6
0865,5
0866,8
0867,0
0867,9
0868,4
0868,0
0869,0
0869,4
0870,9
0870,4
0871,0
0871,12
0872,1
0873,1
0874,9
0875,12
0875,5
0876,4
0877,4
0877,5
0878,9
0878,5
0879,9
0879,5
0880,11
0881,11
0882,11
0883,11
0884,9
0884,3
0885,3
0885,0
0886,0
0886,3
0887,0
0887,3
0888,11
0889,11
0890,11
0891,11
0892,11
0893,11
0894,11
0895,11
0896,11
0897,11
0898,11
0899,5
0900,1
0901,5
0902,13
0903,5
0904,13
0905,11
0906,5
0906,7
0907,7
0907,5
0908,7
0908,5
0909,5
0910,5
0911,5
0912,6
0912,12
0913,6
0913,12
0914,6
0914,12
0915,5
0916,5
0917,1
0918,1
0919,1
0920,1
0921,5
0922,5
0923,5
0924,4
0924,5
0925,4
0925,5
0926,5
0926,9
0927,9
0927,5
0928,7
0929,7
0930,7
0931,6
0932,9
0933,9
0934,9
0935,8
0936,8
0937,8
0938,12
0939,12
0940,6
0940,12
0941,12
0941,6
0942,5
0943,5
0944,5
0945,5
0946,7
0947,7
0948,7
0949,7
0950,14
0951,7
0952,7
0953,1
0954,1
0955,6
0956,6
0957,4
0958,4
0959,4
0960,14
0961,14
0962,6
0963,13
0963,5
0964,13
0964,5
0965,9
0966,9
0967,5
0968,5
0969,9
0970,9
0971,5
0972,5
0973,6
0974,5
0975,5
0976,13
0977,13
0978,13
0979,5
0980,12
0980,5
0981,5
0982,5
0983,8
0984,11
0985,11
0986,11
0987,11
0988,11
0989,11
0990,11
0991,11
0992,11
0993,11
0994,11
0995,11
0996,9
0996,3
0997,9
0997,3
0998,9
0998,3
0999,11
1000,11
1001,11
1002,11
1003,11
1004,11
1005,11
1006,11
1007,11
1008,11
1009,11
1010,11
1011,3
1011,7
1012,0
1012,9
1013,9
1013,0
1014,11
1015,11
1016,11
1017,11
